dba_name,license_id,address,city,state,zip
7-ELEVEN,2704169,177 N WELLS ST,CHICAGO,IL,60606
MIDLANE ESPORTS,2684099,2741 N MILWAUKEE AVE,CHICAGO,IL,60647
EL MUCHACHO ALEGRE,2163723,3036 N PULASKI RD,CHICAGO,IL,60641
PORK CHOP,2699239,1625 N HALSTED ST,CHICAGO,IL,60614
PHO NUMBER 1- VIETNAMESE CUISINE LLC,2333891,5914 W LAWRENCE AVE,CHICAGO,IL,60630
ROYAL NUTRITON,2616205,2624 W 59TH ST,CHICAGO,IL,60629
VIVA NUTRITION CLUB,2713203,2624 W 59TH ST,CHICAGO,IL,60629
BARTOLI'S PIZZERIA,2709388,658 N ASHLAND AVE,CHICAGO,IL,60622
AJAWAAH SWEETS,2386163,2453 W Devon AVE,CHICAGO,IL,60659
STAN'S CORNER INC,9498,5960 S ARCHER AVE,CHICAGO,IL,60638
BEEFY'S,12673,5749 S HARLEM AVE,CHICAGO,IL,60638
EL REY DE LA COSTA,2647755,3548 W LAWRENCE AVE,CHICAGO,IL,60625
CAPTAIN HOOKS,1332616,1600 W 13TH ST,CHICAGO,IL,60608
JEAN'S CAFE & RESTAURANT,2130274,10936 S VINCENNES AVE,CHICAGO,IL,60643
SAMMY'S BREAKFAST-LUNCH-DINNER,2247014,250 E 103RD ST,CHICAGO,IL,60628
EL FAMOUS BURRITO - ROGERS PARK,2677128,7047-7049 N CLARK ST,CHICAGO,IL,60626
ZIGGY'S SIDE DOOR PUB & DELI,1060,6158 W 63RD ST,CHICAGO,IL,60638
DUNKIN DONUTS/BASKIN ROBBINS,2340680,350 E 103RD ST,CHICAGO,IL,60628
SUSHI TAKU,2653172,2283 N MILWAUKEE AVE,CHICAGO,IL,60647
TAMALES LO MEJOR DE GUERRERO,1717312,7024 N CLARK ST,CHICAGO,IL,60626
EAT CLEAN CHICAGO,2616647,4930 S CICERO AVE,CHICAGO,IL,60638
SUBWAY SANDWICH,1922096,7918 S WESTERN AVE,CHICAGO,IL,60620
JIMMYS BEST MIXED GRILL,2609443,200 W 103RD ST,CHICAGO,IL,60628
CARNITAS EL FILLY,2708923,3537 E 106TH ST,CHICAGO,IL,60617
SEAFOOD JUNCTION MARKET,2712792,4515 N SHERIDAN RD,CHICAGO,IL,60640
COOKIES AND CARNITAS,2698783,5938-5940 N BROADWAY,CHICAGO,IL,60660
BLOWING SMOKE BBQ,2712693,131 N CLINTON ST,CHICAGO,IL,60661
DINOS FOODS CORP.,1893302,4135 S ARCHER AVE,CHICAGO,IL,60632
NEVERIA LA FLOR DE MAYO,2225654,4146 S ARCHER AVE,CHICAGO,IL,60632
SEASHELL RESTAURANT,2137180,6940 S ASHLAND AVE,CHICAGO,IL,60636
RAZPACHOS,2304548,5611 S PULASKI RD,CHICAGO,IL,60629
COOKED CHICAGO,2712981,2616 N Cicero AVE,CHICAGO,IL,60639
GREAT SEA RESTAURANT,2652653,3253 W LAWRENCE AVE,CHICAGO,IL,60625
GREAT BUFFET,2068788,2531 W CERMAK RD,CHICAGO,IL,60608
Mama Luna on Addison LLC,2373965,7601 W ADDISON ST,CHICAGO,IL,60634
MASHWI,2578449,6257 N MCCORMICK RD,CHICAGO,IL,60659
HERNANDEZ ENTERPRISES INC,21275,6983 N CLARK ST,CHICAGO,IL,60626
MAMA LUNA'S LOUNGE,2560267,7605-7607 W ADDISON ST,CHICAGO,IL,60634
LA ESQUINA POLAR,2708867,5633 W DIVERSEY AVE,CHICAGO,IL,60639
RAFA'S CHICKEN,2397487,4410 W 63RD ST,CHICAGO,IL,60629
GULF FUEL & MINI MART,2712954,5103-5117 W MADISON ST,CHICAGO,IL,60644
LA MICHOACANA DE MARTHA LLC.,2196604,4336 S PULASKI RD,CHICAGO,IL,60632
MR. DUMPLING INC.,2708972,2485 N CLARK ST,CHICAGO,IL,60614
"FIESTA BURGER HEAVEN, INC.",2390841,7832 S ASHLAND AVE,CHICAGO,IL,60620
MESON DEL TACO EXPRESS,2595758,7616 W BELMONT AVE,CHICAGO,IL,60634
"WENDY'S PROPERTIES, LLC",2469193,4150 S PULASKI RD,CHICAGO,IL,60632
"CHAVELO'S TACOS, INC.",2565101,2702 W 47TH ST,CHICAGO,IL,60632
SUBWAY,2129629,2811 S KEDZIE AVE,CHICAGO,IL,60623
RIB PALACE LLC,2641275,5607 W CORCORAN PL,CHICAGO,IL,60644
KENTUCKY FRIED CHICKEN,2483754,1914 W 79TH ST,CHICAGO,IL,60620
LASCHET'S INN,29539,2119 W IRVING PARK RD,CHICAGO,IL,60618
MIMA'S TASTE OF CUBA,2642060,2925 W IRVING PARK RD,CHICAGO,IL,60618
DONA TOLA,2684258,3751 N SOUTHPORT AVE,CHICAGO,IL,60613
ANTO PIZZA CHICAGO,2616190,1547 W JARVIS AVE,CHICAGO,IL,60626
6 DEGREES,1592201,1935 N DAMEN AVE,CHICAGO,IL,60647
RED & WHITE WINES,2457409,1845 N OAKLEY AVE,CHICAGO,IL,60647
ARANDA MEXICAN RESTAURANT,2570001,6706 W BELMONT AVE,CHICAGO,IL,60634
DENDEN RESTAURANT,1489719,6635 N CLARK ST,CHICAGO,IL,60626
AL'S PIZZA CHICAGO,1997579,6344-6348 W IRVING PARK RD,CHICAGO,IL,60634
ARCHIES,2560178,1228 W LOYOLA AVE,CHICAGO,IL,60626
MARGARITA'S HEALTHY BAR,2671219,2850 W 63RD ST,CHICAGO,IL,60629
TAQUERIA EL HERRADERO,74033,6828 S PULASKI RD,CHICAGO,IL,60629
VIP FIT CLUB,2446547,3426 W DIVERSEY AVE,CHICAGO,IL,60647
BJ'S MARKET & BAKERY,1493350,1156 W 79TH ST,CHICAGO,IL,60620
L C PHO RESTAURANT,2379022,2739 W LAWRENCE AVE,CHICAGO,IL,60625
EL TROMPO,2712510,2702 W 47TH ST,CHICAGO,IL,60632
LUMES PANCAKE HOUSE,39623,11601 S WESTERN AVE,CHICAGO,IL,60643
WANG HAPPY GARDEN,2709053,7710 W BELMONT AVE,CHICAGO,IL,60634
NONNO PINO,56711,6718 N NORTHWEST HWY,CHICAGO,IL,60631
LOTUS GARDEN,2579333,7254 W TOUHY AVE,CHICAGO,IL,60631
JOJO ONE STOP,2708697,2423 W 63RD ST,CHICAGO,IL,60629
VIP NUTRITION,2704555,3426 W DIVERSEY AVE,CHICAGO,IL,60647
BEANS & BAGEL,2492055,2601 W LELAND AVE,CHICAGO,IL,60625
DOUGHBOY'S CHICAGO,2713135,352 E 71ST ST,CHICAGO,IL,60619
ALVO CORPORATION,2712421,3216 W LAWRENCE AVE,CHICAGO,IL,60625
POTBELLY SANDWICH WORKS,1742580,5709 S HARLEM AVE,CHICAGO,IL,60638
NEVERIA EL SABOR de MEXICO,2646751,1639 W 18TH ST,CHICAGO,IL,60608
TONY'S KITCHEN #2 INC.,1300057,6325 S CENTRAL AVE,CHICAGO,IL,60638
KENTUCKY FRIED CHICKEN,2483753,7508 S LAFAYETTE AVE,CHICAGO,IL,60620
CIPRIANI'S PIZZA,31749,5840 W 63RD ST,CHICAGO,IL,60638
VELVET TACO,2299114,1110 N STATE ST,CHICAGO,IL,60610
TEZCAL RESTAURANT,2626654,4305 N KEDZIE AVE,CHICAGO,IL,60618
MOONLIGHT VULTURE,2432899,2889 N MILWAUKEE AVE,CHICAGO,IL,60618
MARIO'S TABLE,38456,21 W GOETHE ST,CHICAGO,IL,60610
BULLDOG ALE HOUSE,2463973,6606 N SHERIDAN RD,CHICAGO,IL,60626
THAI PASTRY RESTAURANT,2263388,4925 N BROADWAY,CHICAGO,IL,60640
GRACE AFRICAN RESTAURANT,1620462,4409 N BROADWAY,CHICAGO,IL,60640
INTELLIGENTSIA,2232034,11601 W TOUHY AVE,CHICAGO,IL,60666
ELLIOTT'S SEAFOOD AND CHOP HOUSE GRILL,44501,6688-6690 N NORTHWEST HWY,CHICAGO,IL,60631
SARPINO'S PIZZERIA,2098744,1852 N DAMEN AVE,CHICAGO,IL,60647
BRAZILIAN BOWL FRESH GRILL,2437092,3200 W LAWRENCE AVE,CHICAGO,IL,60625
HOST INTERNATIONAL INC,34150,11601 W TOUHY AVE,CHICAGO,IL,60666
EL FOGON DE ELENA RESTAURANT,2712646,3149 W LAWRENCE AVE,CHICAGO,IL,60625
EL CAMPESTRE #2,1878766,6920 S PULASKI RD,CHICAGO,IL,60629
TAQUERIA EXPRESS,2712919,1232 N LA SALLE DR,CHICAGO,IL,60610
KABAB 2,2653110,3216 W LAWRENCE AVE,CHICAGO,IL,60625
THE NEW GRACE RESTAURANT,2712979,4409 N BROADWAY,CHICAGO,IL,60640
MIS TACOS MEXICAN FOOD,2319968,4308-4310 W MARQUETTE RD,CHICAGO,IL,60629
CHOP SUEY KING,1272242,3135 N CICERO AVE,CHICAGO,IL,60641
TOP VIEW RESTAURANT,1803193,4713-4715 W 63RD ST,CHICAGO,IL,60629
MR. GEES,2269677,4436 W FULLERTON AVE,CHICAGO,IL,60639
PIZZA HUT,2476202,47 W 79TH ST,CHICAGO,IL,60620
ICE BAR,2363771,11601 W TOUHY AVE,CHICAGO,IL,60666
CHILI'S GRILL & BAR,1937623,1750 W 119TH ST,CHICAGO,IL,60643
PLANT BASED JUNKIE,2712185,1635 E 87TH ST,CHICAGO,IL,60617
"RYLON'S SMOKEHOUSE PARTNERS, LLP",2663747,67-69 E CERMAK RD,CHICAGO,IL,60616
IRON HORSE ALE HOUSE,2124659,6158 N NORTHWEST HWY,CHICAGO,IL,60631
HILLTOP FAMILY RESTAURANT,2652370,2800 W FOSTER AVE,CHICAGO,IL,60625
CHARMER'S CAFE,2442571,1500 W JARVIS AVE,CHICAGO,IL,60626
BOPNGRILL,2283190,6604 N SHERIDAN RD,CHICAGO,IL,60626
ORIGINAL PAKIZA INC.,2609221,1009-1011 N ORLEANS ST,CHICAGO,IL,60610
"LOS ARCOS AUTHENTIC MEXICAN FOOD, INC.",2232454,5525 N CLARK ST,CHICAGO,IL,60640
BUONA,2438033,10637 S WESTERN AVE,CHICAGO,IL,60643
CHOP SUEY CITY CHICAGO INC.,2550639,3825 S ARCHER AVE,CHICAGO,IL,60632
SEE THRU CHINESE KITCHEN #13,1616560,1610 W 59TH ST,CHICAGO,IL,60636
CHIPOTLE MEXICAN GRILL #2409,2442358,5330 S PULASKI RD,CHICAGO,IL,60632
CORCORAN'S GRILL & PUB,27874,1615 N WELLS ST,CHICAGO,IL,60614
POLLO CAMPERO,2712804,4830 N PULASKI RD,CHICAGO,IL,60630
"LUIGI'S PIZZA BY THE SLICE, INC",2125165,4212 W MADISON ST,CHICAGO,IL,60624
SUBWAY,2595127,1300 W CERMAK RD,CHICAGOHICAGO,IL,60608
REGGIO'S PIZZA III,14709,120 W 87TH ST,CHICAGO,IL,60620
IZAKAYA MITA,2341554,1960 N DAMEN AVE,CHICAGO,IL,60647
KHEPRI CAFE,2683983,4650 N KEDZIE AVE,CHICAGO,IL,60625
TAQUERIA EL ARCO #2,1495629,2462 S BLUE ISLAND AVE,CHICAGO,IL,60608
Tortuga's Cantina,2120365,3220-3224 W LAWRENCE AVE,CHICAGO,IL,60625
KING'S CHOP SUEY,2055457,4635 W 63RD ST,chicago,IL,60629
PANDA EXPRESS #1345,1880126,6201 N LINCOLN AVE,CHICAGO,IL,60659
Outback Steakhouse,2088695,8101 W HIGGINS RD,CHICAGO,IL,60631
"SAM'S CHICKEN AND RIBS, PIZZA",2492776,3220 N KIMBALL,CHICAGO,IL,60618
SUBWAY RESTAURANT,1953503,3207 W DIVERSEY AVE,CHICAGO,IL,60647
TASTY FAST FOOD & GROCERY,2559536,6645 S HALSTED ST,CHICAGO,IL,60621
EL PESCADOR RESTAURANT,2688759,4056 S WESTERN AVE,CHICAGO,IL,60609
LITEHOUSE WHOLE FOOD,2709131,1660 E 55TH ST,CHICAGO,IL,60615
BLOWING SMOKE BBQ,2712887,1358 E 75TH ST,CHICAGO,IL,60619
Subway Restaurant,2037952,3025 N PULASKI RD,CHICAGO,IL,60641
SUBWAY,2698300,3207 W DIVERSEY AVE,CHICAGO,IL,60647
CAFE IL CORTILE,2712920,8443-8445 W LAWRENCE AVE,CHICAGO,IL,60656
TACO BURRITO KING,2065146,5501 N HARLEM AVE,CHICAGO,IL,60656
"TAQUERIA Y BIRRIERIA MORELIA, INC.",2278083,5620 S PULASKI RD,CHICAGO,IL,60629
MR. POLLO,2542966,3026 W BELMONT AVE,CHICAGO,IL,60618
CHIPOTLE MEXICAN GRILL,1496019,2302 W 95TH ST,CHICAGO,IL,60643
SUMMER HOUSE SANTA MONICA/STELLA BARRA PIZZERIA,2234204,1954 N HALSTED ST,CHICAGO,IL,60614
THE WEINER'S CIRCLE,2431721,2622 N CLARK ST,CHICAGO,IL,60614
CARMELITA'S TAQUERIA,1475925,1206 W LAWRENCE AVE,CHICAGO,IL,60640
SUBWAY,2560647,3924 S ARCHER AVE,CHICAGO,IL,60632
MOLE VILLAGE RESTAURANT,2646241,2302 S BLUE ISLAND AVE,CHICAGO,IL,60608
POTBELLY SANDWICH SHOP,2349865,6464 N SHERIDAN RD,CHICAGO,IL,60626
ROMERO'S BURGER BULL,2457982,5736 N ELSTON AVE,CHICAGO,IL,60646
SUBWAY SANDWICH STORE,1330081,2750 W DEVON AVE,CHICAGO,IL,60659
GORILLA SUSHI,2600906,3407 W LAWRENCE AVE,CHICAGO,IL,60625
TAQUERIA BRITO'S,2476990,4101 W BELMONT AVE,CHICAGO,IL,60641
DUNKIN DONUTS,1822416,2565 W FULLERTON AVE,CHICAGO,IL,60647
JIBARITO'S Y MAS,2522235,3400 W FULLERTON AVE,CHICAGO,IL,60647
IRAQI KABAB HOUSE,2583527,4849 N KEDZIE AVE,CHICAGO,IL,60625
DUNKIN DONUTS BASKIN ROBBINS,1821281,5050 W GRAND AVE,CHICAGO,IL,60639
SEE THRU CHINESE KITCHEN,1170990,4318 S ASHLAND AVE,CHICAGO,IL,60609
JAMBA JUICE 481,2708581,225 S CANAL ST,CHICAGO,IL,60606
TOMMY'S ON HIGGINS,37611,6954 W HIGGINS AVE,CHICAGO,IL,60656
LA LUNA,2601590,1726 S RACINE AVE,CHICAGO,IL,60608
YUZUYA ASIAN GRILL,2712640,1415 N MILWAUKEE AVE,CHICAGO,IL,60622
SUBWAY,1739186,100 W 87TH ST,CHICAGO,IL,60620
CHURCH'S CHICKEN # 982,1273271,58 W 79TH ST,CHICAGO,IL,60620
ASIAN CUISINE EXPRESS,2327198,3823 W 31ST ST,CHICAGO,IL,60623
HAILEY'S HOAGIES,2583295,1055 W 63RD ST,CHICAGO,IL,60621
CHISME EXPRESS INC.,1334960,5955 S PULASKI RD,CHICAGO,IL,60629
SUBWAY,2050000,1901 W 103RD ST,CHICAGO,IL,60643
SKY LAKE CHINESE KITCHEN,2027332,108 W 111TH ST,CHICAGO,IL,60628
PANDA EXPRESS RESTAURANT #2685,2446269,6501 S CICERO AVE,CHICAGO,IL,60638
NANA / AJO,1960118,3265-3267 S HALSTED ST,CHICAGO,IL,60608
SUBWAY,2042031,6456 W 63RD ST,CHICAGO,IL,60638
MY PLACE,2698736,1307 S WABASH AVE,CHICAGO,IL,60605
LOAD A SPUD,2712666,109 E 51ST ST,CHICAGO,IL,60615
BIG JONES,1874133,5347 N CLARK ST,CHICAGO,IL,60640
MAGIC JUG,1488054,6354 W IRVING PARK RD,CHICAGO,IL,60634
A'S RESTAURANT &  PANCAKE HOUSE,1335179,6358 W IRVING PARK RD,CHICAGO,IL,60634
SUSHI WORLD,2548684,6251 N MCCORMICK RD,CHICAGO,IL,60659
MEXICO STEAK HOUSE,9344,2983 S ARCHER AVE,CHICAGO,IL,60608
MADDON'S POST,2652430,1119 W WAVELAND AVE,CHICAGO,IL,60613
REGGIO'S PIZZA EXPRESS,2428079,11601 W TOUHY AVE,CHICAGO,IL,60666
STARBUCKS L03,2363762,11601 W TOUHY AVE,CHICAGO,IL,60666
POTBELLY SANDWICH WORKS LLC,1474562,1625 N DAMEN AVE,CHICAGO,IL,60647
THE GRAFTON PUB & GRILL,30737,4530 N LINCOLN AVE,CHICAGO,IL,60625
CHIPOTLE MEXICAN GRILL,76583,2000 N CLYBOURN AVE,CHICAGO,IL,60614
ST JOSEPH VILLAGE OF CHICAGO,2307861,4021 W BELMONT AVE,CHICAGO,IL,60641
DASH OF SALT AND PEPPER,2694886,2201 N LINCOLN AVE,CHICAGO,IL,60614
SUBWAY 3634,2548999,6449 N SHERIDAN RD,CHICAGO,IL,60626
JOE'S GRILL,2177841,5102 S RACINE AVE,CHICAGO,IL,60609
THAI BOWL,54665,1049 W TAYLOR ST,CHICAGO,IL,60607
THE NILE RESTAURANT,2334190,1162 E 55TH ST,CHICAGO,IL,60615
"SAUCY PORK HYDE PARK, LLC.",2608631,1164 E 55TH ST,CHICAGO,IL,60615
"EL ORIGINAL CHAVAS TACOS, INC",2133760,4316 S PULASKI RD,CHICAGO,IL,60632
TACO BELL #30404,2320371,500 W MADISON,CHICAGO,IL,60661
AMERICAN WILDBURGER,2564571,500 W MADISON ST,CHICAGO,IL,60661
THE QUEEN MARY,2437419,2125 W DIVISION ST,CHICAGO,IL,60622
NYFC SEAFOOD & GRILL,2671384,1137 W 63RD ST,CHICAGO,IL,60621
NICK'S HI -  HO CAFE,1305420,3134 N CICERO AVE,CHICAGO,IL,60641
HOOTERS,69926,8225 W HIGGINS RD,CHICAGO,IL,60631
O-MANNY  MEXICAN RESTAURANT,2608056,3641 W IRVING PARK RD,CHICAGO,IL,60618
KIM'S HOME COOKING,2609714,4829 N KEDZIE AVE,CHICAGO,IL,60625
SARRAP FILIPINO CUISINE AND BYOB,2709282,2360 N NEVA AVE,CHICAGO,IL,60707
DUNLAYS ON THE SQUARE,1046040,3137-3139 W LOGAN BLVD,CHICAGO,IL,60647
MARWA GRILL,2578449,6257 N MCCORMICK RD,CHICAGO,IL,60659
TASTY CHICKEN & SALAD FOOD MART,2542904,159 W 95TH ST,CHICAGO,IL,60628
HAROLDS CHICKEN ON BROADWAY,2712473,3933 N BROADWAY,CHICAGO,IL,60613
JOEY G'S MAC AND CHEESE,2699530,959 N WESTERN AVE,CHICAGO,IL,60622
LOUDERUSK COCINA INC,2641888,4503-4505 N KEDZIE AVE,CHICAGO,IL,60625
ABRAM GALE,2017114,2366-2370 N NEVA AVE,CHICAGO,IL,60707
CHUBBY'S CHAR HOUSE LTD,2589086,5963 W MADISON ST,CHICAGO,IL,60644
"FINGA LICKING CHICAGO, LLC",2548699,5045 W MADISON AVE,CHICAGO,IL,60644
ORIENTAL CHOP SUEY,2423951,1820 W 95TH ST,CHICAGO,IL,60643
BITES ASIAN TAPAS & SUSHI,1883543,3313 N CLARK ST,CHICAGO,IL,60657
HUTCH,2270100,3301 N CLARK ST,CHICAGO,IL,60657
SEE THRU CHINESE KITCHEN,1245305,8357 S COTTAGE GROVE AVE,CHICAGO,IL,60619
SARPINOS PIZZERIA,1954289,158 W DIVISION ST,CHICAGO,IL,60610
LA MIXTECA POBLANA 2 LLC,2359305,3046-3050 W 63RD ST,CHICAGO,IL,60629
POLONIA,50418,4604 S ARCHER AVE,CHICAGO,IL,60632
"MARISCOS EL KORA, INC.",2488409,5207-5209 S ARCHER AVE,CHICAGO,IL,60632
MINGHIN ON GRANT PARK,2422780,333 E BENTON PL,CHICAGO,IL,60601
SUBWAY,2074313,51 W 79TH ST,CHICAGO,IL,60620
FRESHII,2358587,200 E RANDOLPH ST,CHICAGO,IL,60601
TAQUERIA OCHOA'S #2,2536770,3107 W 71ST ST,CHICAGO,IL,60629
FATSO'S,2535353,2258 W CHICAGO AVE,CHICAGO,IL,60622
ESQUINA DEL SABOR CATROCHO,2652559,2535 N LARAMIE AVE,CHICAGO,IL,
"MR MUNCHIES, INC.",2699191,3107 W 71ST ST,CHICAGO,IL,60629
CAFETERIA Y NEVERIA JIMENEZ,2560709,4204-4216 W NORTH AVE,CHICAGO,IL,60639
Jimmie Gs on kedzie,2712350,307 S KEDZIE AVE,CHICAGO,IL,60612
C-K SUBWAY,1473964,5957 W BELMONT AVE,CHICAGO,IL,60634
SUBWAY,2163012,4157 W Peterson AVE,CHICAGO,IL,60646
EL JARDIN RESTAURANT,32881,3333-3339 N CLARK ST,CHICAGO,IL,60657
ALTIRO,2334077,2116 W ROSCOE ST,CHICAGO,IL,60618
CANTEEN FOOD,2120452,565 W ADAMS ST,CHICAGO,IL,60661
PIZZA NOVA,5236,1842 W 18TH ST,CHICAGO,IL,60608
SABORCITO ECUATORIANO,2615541,3536 W LAWRENCE AVE,CHICAGO,IL,60625
Polish Food Inc,2437162,3104 N CENTRAL AVE,CHICAGO,IL,60634
EASY LIVING JUICE BAR LLC,2641735,1907 W 87TH ST,CHICAGO,IL,60620
RENAISSANCE CHICAGO HOTEL,48221,1 W WACKER DR,CHICAGO,IL,60601
SIMPLY THALIA,2059952,108 N STATE ST,CHICAGO,IL,60602
CHOP STICK EXPRESS,1697822,7230 N HARLEM AVE,CHICAGO,IL,60631
TAN LU,2670198,2101 S CHINA PL,CHICAGO,IL,60616
Subway,2048240,5150 W Belmont AVE,CHICAGO,IL,60641
China Wok Restuarant,2119864,3106 N CENTRAL AVE,CHICAGO,IL,60634
BUFFALO WILD WINGS,2398345,2650 N NARRAGANSETT AVE,CHICAGO,IL,60639
La Michoacana de Tocumbo,2630971,4600 W BELMONT AVE,CHICAGO,IL,60641
WILDE,1770566,3130 N BROADWAY,CHICAGO,IL,60657
L & B KITCHEN,2517587,5451 W MADISON ST,CHICAGO,IL,60644
THE VEGGIE GRILL,2636157,629 N WELLS ST,CHICAGO,IL,60654
E & R CHICKEN SHACK,2569923,1308 W 95TH ST,CHICAGO,IL,60643
CZERWONE JABLUSZKO REST INC,17636,3121 N MILWAUKEE AVE,CHICAGO,IL,60618
VICKY'S CAFE LLC,2698556,1308 W 95TH ST,CHICAGO,IL,60643
MANNY'S TACOS & BURRITOS,2550994,11545 S MICHIGAN AVE,CHICAGO,IL,60628
GIORDANO'S OF LOGAN SQUARE,2551150,2855 N MILWAUKEE AVE,CHICAGO,IL,60618
STK CHICAGO,2517304,9 W KINZIE ST,CHICAGO,IL,60654
G N P H #TWO INC,37911,1765 W LAWRENCE AVE,CHICAGO,IL,60640
SUBWAY,1697154,1938 W LAWRENCE AVE,CHICAGO,IL,60640
IDOF FRESH MEDITERRANEAN,2683923,555 W MONROE ST,CHICAGO,IL,60661
"MAYA'S PIZZA, INC.",1846595,8550 S COMMERCIAL AVE,CHICAGO,IL,60617
TAQUERIA EL CHARRO,2594571,6661 N CLARK ST,CHICAGO,IL,60626
LA MICHOACANA PREMIUM,2362911,3509 W LAWRENCE AVE,CHICAGO,IL,60625
GIORDANO'S,2398783,6709 N NORTHWEST HWY,CHICAGO,IL,60631
ARAMARK @ NORTH PARK,2340710,5145 N CHRISTIANA AVE,CHICAGO,IL,60625
CITY LIMITS,2600948,4628 N CUMBERLAND AVE,CHICAGO,IL,60656
"WARE RANCH STEAK HOUSE, INC",2631290,11147 S MICHIGAN AVE,CHICAGO,IL,60628
ARTURO'S TACOS,17234,2001 N WESTERN AVE,CHICAGO,IL,60647
WOO CHON RESTAURANT,35640,5744 N CALIFORNIA AVE,CHICAGO,IL,60659
LAS PICOSAS CO,1847566,6430 S PULASKI RD,CHICAGO,IL,60629
BRYANNA'S RESTAURANT,2433163,5695 N LINCOLN AVE,CHICAGO,IL,60659
MR.SUBMARINE,35117,10509 S WESTERN AVE,CHICAGO,IL,60643
Sol De Mexico Tierra Azteca,2022109,3018-3020 N Cicero AVE,CHICAGO,IL,60641
CARIBELLA,2569696,3311 W FULLERTON AVE,CHICAGO,IL,60647
LUCKY GRILL,1891776,7779 W TALCOTT AVE,CHICAGO,IL,60631
LA PLACITA DE DURANGO,2134104,2423 W 51ST ST,CHICAGO,IL,60632
NORTHERN TASTE,2483482,3409 S HALSTED ST,CHICAGO,IL,60608
THE KITCHEN CHICAGO,2327841,316 N CLARK ST,CHICAGO,IL,60654
POKIOLOGY ROSCOE,2712243,2111 W ROSCOE ST,CHICAGO,IL,60618
CAPT'N NEMO,47163,7367 N CLARK ST,CHICAGO,IL,60626
PRIMO PIZZA INC,33440,5600 N CLARK ST,CHICAGO,IL,60660
THE STOP NUTRITION,2709245,4207 W 26TH ST,CHICAGO,IL,60623
THE PASTA BOWL,2578687,4343 N LINCOLN AVE,CHICAGO,IL,60618
AU BON PAIN,1979993,1653 W CONGRESS PKWY,CHICAGO,IL,60612
Rosebud Steakhouse,1043008,192 E WALTON ST,CHICAGO,IL,60611
