DBA Name,License #,bus_id,cust_rating,price_rating
7-ELEVEN,2704169,eityapX-OgxF6rjjJ0XmKQ,3.0,1.0
MIDLANE ESPORTS,2684099,,,
EL MUCHACHO ALEGRE,2163723,nw3gqyr5xtZfUDwlnv0vtg,4.0,1.0
7-ELEVEN,2704166,eityapX-OgxF6rjjJ0XmKQ,3.0,1.0
PORK CHOP,2699239,,,
MIDLANE ESPORTS,2659125,,,
PHO NUMBER 1- VIETNAMESE CUISINE LLC,2333891,jLeoiyhxx5FyGmtuYpdQnQ,4.0,1.0
ROYAL NUTRITON,2616205,,,
VIVA NUTRITION CLUB,2713203,,,
BARTOLI'S PIZZERIA,2709388,,,
AJAWAAH SWEETS,2386163,iflJ9LFMhu2WAMg5nDWmqQ,4.5,1.0
STAN'S CORNER INC,9498,HaMttRVkvRIbzZCr0oLkvg,4.5,2.0
BEEFY'S,12673,MZrjtZhWZJe1E0H0Kdqqvg,4.0,1.0
EL REY DE LA COSTA,2647755,gFFhmihH9f2k9eVK-8h9Kw,4.0,
CAPTAIN HOOKS,1332616,MIYMUFfupoHQR5Mxvxo0nQ,3.0,1.0
JEAN'S CAFE & RESTAURANT,2130274,Wp2cZYj3lIhgJNDN9CujKQ,3.5,1.0
SAMMY'S BREAKFAST-LUNCH-DINNER,2247014,,,
EL FAMOUS BURRITO - ROGERS PARK,2677128,GUwtdixuzA8u7EJHfgqRgA,4.0,1.0
ZIGGY'S SIDE DOOR PUB & DELI,1060,FAvqH07dW9OeUmrtcgmMuw,5.0,
DUNKIN DONUTS/BASKIN ROBBINS,2340680,,,
SUSHI TAKU,2653172,,,
TAMALES LO MEJOR DE GUERRERO,1717312,2aU1I77dtYvNyhU2HKJJkw,4.0,1.0
EAT CLEAN CHICAGO,2616647,,,
SUSHI TAKU,2653173,,,
SUBWAY SANDWICH,1922096,0MP_ApJitzYfwQoGJ2_J0Q,4.0,1.0
JIMMYS BEST MIXED GRILL,2609443,u0hfrwi9eLPy8d5mnqpDaw,3.0,
CARNITAS EL FILLY,2708923,,,
SEAFOOD JUNCTION MARKET,2712792,,,
COOKIES AND CARNITAS,2698783,WgKaikMqCrevF8jXyTZ_mg,4.0,2.0
BLOWING SMOKE BBQ,2712693,,,
DINOS FOODS CORP.,1893302,,,
NEVERIA LA FLOR DE MAYO,2225654,JyHALFUYeN2qAVjYz8ywtw,4.0,1.0
SEASHELL RESTAURANT,2137180,SrQjDnh9E3rSEyn3lgPKLQ,1.5,
